neighborhood,month,year,month_abbr,date,Income,SNAP,CPS,Free Store Foodbank,La Soupe,Whole Again,Childhood Food Solutions,NA,Charitable,total_covered
Millvale,1,2019,Jan,2019-01-01,0.571131307,0.336081341,0.073957698,0,0,0,0,0,0,0.981170346
Mt. Adams,1,2019,Jan,2019-01-01,0.971985466,0,0.001606368,0,0,0,0,0,0,0.973591834
Mt. Airy,1,2019,Jan,2019-01-01,0.769444247,0.191549245,0.060365794,0,0,0,0,0,0,1.021359286
Mt. Auburn,1,2019,Jan,2019-01-01,0.844227446,0.120333482,0.042348122,0,0,0,0,0,0,1.00690905
Mt. Lookout,1,2019,Jan,2019-01-01,0.972236101,0,0.006265316,0,0,0,0,0,0,0.978501417
Mt. Washington,1,2019,Jan,2019-01-01,0.892556094,0.113404569,0.021400607,0,0,0,0,0,0,1.0273612699999999
North Avondale - Paddock Hills,1,2019,Jan,2019-01-01,0.852837131,0.117027305,0.02586413,0,0,0,0,0,0,0.995728566
North Fairmount,1,2019,Jan,2019-01-01,0.633179512,0.251511143,0.06618934,0,0,0,0,0,0,0.950879995
Northside,1,2019,Jan,2019-01-01,0.88677349,0.129176029,0.032595752,0,0,0,0,0,0,1.048545271
Oakley,1,2019,Jan,2019-01-01,0.941124033,0.044309973,0.016842959,0,0,0,0,0,0,1.002276965
Over-the-Rhine,1,2019,Jan,2019-01-01,0.812888983,0.246347113,0.025510753,0,0,0,0,0,0,1.084746849
Pendleton,1,2019,Jan,2019-01-01,0.824800105,0.182085913,0.041303031,0,0,0,0,0,0,1.0481890489999999
Pleasant Ridge,1,2019,Jan,2019-01-01,0.945230719,0.066420303,0.036840912,0,0,0,0,0,0,1.0484919339999998
Queensgate,1,2019,Jan,2019-01-01,0.52970774,0.274978746,0.04956518,0,0,0,0,0,0,0.854251666
Riverside,1,2019,Jan,2019-01-01,0.85078079,0.148267793,0.02926318,0,0,0,0,0,0,1.028311763
Roselawn,1,2019,Jan,2019-01-01,0.733542471,0.207256789,0.056375835,0,0,0,0,0,0,0.997175095
Sayler Park,1,2019,Jan,2019-01-01,0.870307156,0.078327644,0.049467382,0,0,0,0,0,0,0.998102182
Sedamsville,1,2019,Jan,2019-01-01,0.783156815,0.256240673,0.048129547,0,0,0,0,0,0,1.0875270350000001
South Cumminsville,1,2019,Jan,2019-01-01,0.571131307,0.336081341,0.073957698,0,0,0,0,0,0,0.981170346
South Fairmount,1,2019,Jan,2019-01-01,0.704799795,0.267577501,0.048264969,0,0,0,0,0,0,1.020642265
Spring Grove Village,1,2019,Jan,2019-01-01,0.889740215,0.132979917,0.057047196,0,0,0,0,0,0,1.079767328
Villages at Roll Hill,1,2019,Jan,2019-01-01,0.410982508,0.404476403,0.063700976,0,0,0,0,0,0,0.879159887
Walnut Hills,1,2019,Jan,2019-01-01,0.7327332,0.3911775,0.020477792,0,0,0,0,0,0,1.144388492
West End,1,2019,Jan,2019-01-01,0.744639173,0.302486204,0.054212038,0,0,0,0,0,0,1.101337415
West Price Hill,1,2019,Jan,2019-01-01,0.852876947,0.156301315,0.053381267,0,0,0,0,0,0,1.062559529
Westwood,1,2019,Jan,2019-01-01,0.84579064,0.155421365,0.048523525,0,0,0,0,0,0,1.04973553
Winton Hills,1,2019,Jan,2019-01-01,0.548176713,0.32612678,0.100045817,0,0,0,0,0,0,0.97434931
Avondale,1,2020,Jan,2020-01-01,0.698973421,0.131369697,0.047695472,0.010401573,0,0,0,0,0.010401573,0.8884401630000001
Bond Hill,1,2020,Jan,2020-01-01,0.864866589,0.046765469,0.045578038,0.05171794,0,0,0,0,0.05171794,1.0089280360000001
California,1,2020,Jan,2020-01-01,0.971241403,0,0.005817493,0,0,0,0,0,0,0.977058896
Camp Washington,1,2020,Jan,2020-01-01,0.893005193,0.054657466,0.012714482,0.019274765,0,0,0,0,0.019274765,0.9796519060000001
Carthage,1,2020,Jan,2020-01-01,0.806840928,0.060708379,0.068545985,0.007357399,0,0,0,0,0.007357399,0.943452691
Clifton,1,2020,Jan,2020-01-01,0.875841693,0.019335698,0.011434791,8.91e-4,0,0,0,0,8.91e-4,0.907503182
College Hill,1,2020,Jan,2020-01-01,0.842489456,0.050489908,0.042450649,0.004864996,0,0,0,0,0.004864996,0.940295009
Columbia Tusculum,1,2020,Jan,2020-01-01,0.962334613,0.009932305,0.00342774,0,0,0,0,0,0,0.975694658
Corryville,1,2020,Jan,2020-01-01,0.705229009,0.017383029,0.004903825,0.010979146,0,0,0,0,0.010979146,0.738495009
CUF,1,2020,Jan,2020-01-01,0.775875336,0.014779379,0.005544115,0.006074198,0,0,0,0,0.006074198,0.802273028
Downtown,1,2020,Jan,2020-01-01,0.908709516,0.062693236,0.002415778,0.009071468,0,0,0,0,0.009071468,0.9828899980000001
East End,1,2020,Jan,2020-01-01,0.935705267,0.032562217,0.024266361,0.035215483,0,0,0,0,0.035215483,1.027749328
East Price Hill,1,2020,Jan,2020-01-01,0.802082883,0.098951716,0.047692113,0.02012371,0,0,0,0,0.02012371,0.9688504219999999
East Walnut Hills,1,2020,Jan,2020-01-01,0.949114357,0.020619007,0.008326312,0.029349925,0,0,0,0,0.029349925,1.007409601
East Westwood,1,2020,Jan,2020-01-01,0.719523199,0.110758796,0.06050271,0.007320958,0,0,0,0,0.007320958,0.8981056629999999
English Woods,1,2020,Jan,2020-01-01,0.721772965,0.094526022,0.054528722,0,0,0,0,0,0,0.8708277090000001
Evanston,1,2020,Jan,2020-01-01,0.880456912,0.044694108,0.011673611,0.005565411,0,0,0,0,0.005565411,0.9423900419999999
Hartwell,1,2020,Jan,2020-01-01,0.913793044,0.041918121,0.029683855,5.61e-4,0,0,0,0,5.61e-4,0.9859560200000002
Hyde Park,1,2020,Jan,2020-01-01,0.953415044,0.004883837,0.021029913,6.83e-4,0,0,0,0,6.83e-4,0.9800117939999999
Kennedy Heights,1,2020,Jan,2020-01-01,0.910703138,0.038710353,0.024259093,0.00569407,0,0,0,0,0.00569407,0.979366654
Linwood,1,2020,Jan,2020-01-01,0.962334613,0.009932305,0.026367234,0,0,0,0,0,0,0.9986341519999999
Lower Price Hill,1,2020,Jan,2020-01-01,0.59529547,0.122717098,0.038675482,0.030179096,0,0,0,0,0.030179096,0.7868671460000001
Madisonville,1,2020,Jan,2020-01-01,0.887632225,0.03240885,0.030808549,0.024586529,0,0,0,0,0.024586529,0.9754361530000001
Millvale,1,2020,Jan,2020-01-01,0.545278332,0.174811002,0.06909758,0.057695889,0,0,0,0,0.057695889,0.846882803
Mt. Adams,1,2020,Jan,2020-01-01,0.968495181,0,0.001962176,0,0,0,0,0,0,0.970457357
Mt. Airy,1,2020,Jan,2020-01-01,0.771281074,0.077412677,0.050677473,0.006541977,0,0,0,0,0.006541977,0.9059132010000001
Mt. Auburn,1,2020,Jan,2020-01-01,0.876137822,0.054589355,0.02645412,0.020963145,0,0,0,0,0.020963145,0.978144442
Mt. Lookout,1,2020,Jan,2020-01-01,0.969493974,0.002996328,0.005215466,0,0,0,0,0,0,0.9777057680000001
Mt. Washington,1,2020,Jan,2020-01-01,0.908039547,0.052768888,0.018701854,0.008280065,0,0,0,0,0.008280065,0.987790354
North Avondale - Paddock Hills,1,2020,Jan,2020-01-01,0.872082623,0.06095251,0.024157726,0.012235471,0,0,0,0,0.012235471,0.96942833
North Fairmount,1,2020,Jan,2020-01-01,0.721772965,0.094526022,0.054528722,0.011590969,0,0,0,0,0.011590969,0.8824186780000001
Northside,1,2020,Jan,2020-01-01,0.900782894,0.053204004,0.028653312,0.019576644,0,0,0,0,0.019576644,1.002216854
Oakley,1,2020,Jan,2020-01-01,0.95188309,0.015339932,0.016969606,5.39e-4,0,0,0,0,5.39e-4,0.9847316279999999
Over-the-Rhine,1,2020,Jan,2020-01-01,0.865757332,0.101468317,0.016757131,0.496227759,0,0,0,0,0.496227759,1.480210539
Pendleton,1,2020,Jan,2020-01-01,0.880294889,0.056541037,0.034917709,0,0,0,0,0,0,0.971753635
Pleasant Ridge,1,2020,Jan,2020-01-01,0.916917317,0.043730263,0.039510614,0.002331173,0,0,0,0,0.002331173,1.002489367
Queensgate,1,2020,Jan,2020-01-01,0.59529547,0.122717098,0.038675482,0,0,0,0,0,0,0.7566880500000001
Riverside,1,2020,Jan,2020-01-01,0.87063014,0.057185538,0.023558619,0.003960506,0,0,0,0,0.003960506,0.9553348030000001
Roselawn,1,2020,Jan,2020-01-01,0.731864272,0.093335786,0.042116263,0.09329139,0,0,0,0,0.09329139,0.9606077110000001
Sayler Park,1,2020,Jan,2020-01-01,0.874458463,0.049281803,0.046825388,0.004162041,0,0,0,0,0.004162041,0.9747276949999999
Sedamsville,1,2020,Jan,2020-01-01,0.865068649,0.07483533,0.035846222,0,0,0,0,0,0,0.975750201
South Cumminsville,1,2020,Jan,2020-01-01,0.545278332,0.174811002,0.06909758,0.044941411,0,0,0,0,0.044941411,0.834128325
South Fairmount,1,2020,Jan,2020-01-01,0.745799126,0.107133843,0.034540458,0.007944426,0,0,0,0,0.007944426,0.8954178530000001
Spring Grove Village,1,2020,Jan,2020-01-01,0.824591244,0.087488532,0.055963924,0.004085285,0,0,0,0,0.004085285,0.972128985
Villages at Roll Hill,1,2020,Jan,2020-01-01,0.414767959,0.193304406,0.065596815,0,0,0,0,0,0,0.6736691800000001
Walnut Hills,1,2020,Jan,2020-01-01,0.800911924,0.168387031,0.013901002,0.052561444,0,0,0,0,0.052561444,1.035761401
West End,1,2020,Jan,2020-01-01,0.679860872,0.166271704,0.058561526,0.075042298,0,0,0,0,0.075042298,0.9797364
West Price Hill,1,2020,Jan,2020-01-01,0.843703751,0.077790543,0.052953639,0.00220328,0,0,0,0,0.00220328,0.976651213
Westwood,1,2020,Jan,2020-01-01,0.852091822,0.068239325,0.042982495,0.003493416,0,0,0,0,0.003493416,0.9668070579999999
Winton Hills,1,2020,Jan,2020-01-01,0.611866919,0.185042882,0.068581144,0.0026868,0,0,0,0,0.0026868,0.868177745
Avondale,1,2021,Jan,2021-01-01,0.678530718,0.184068486,0.048703503,0.004259783,0.0022576610000000002,0,0,0,0.006517444,0.917820151
Bond Hill,1,2021,Jan,2021-01-01,0.873251239,0.066862785,0.043406519,0.126722556,0.001002787,0,0,0,0.127725343,1.111245886
California,1,2021,Jan,2021-01-01,0.974532007,0,0.005854081,0,0,0,0,0,0,0.9803860879999999
Camp Washington,1,2021,Jan,2021-01-01,0.894907014,0.103688483,0.015435077,0.005800983,0.00213849,0,0,0,0.007939472999999999,1.021970047
Carthage,1,2021,Jan,2021-01-01,0.817363415,0.12983851,0.067236124,0.169806256,0,0,0,0,0.169806256,1.184244305
Clifton,1,2021,Jan,2021-01-01,0.869871483,0.033504584,0.011767851,0.006734753,2.58e-4,0,0,0,0.006992752999999999,0.922136671
College Hill,1,2021,Jan,2021-01-01,0.812452927,0.084281713,0.043724829,0.008389672,5.53e-4,0,0,0,0.008942672,0.949402141
Columbia Tusculum,1,2021,Jan,2021-01-01,0.96879115,0.020885345,0.003313151,0,0,0,0,0,0,0.9929896460000001
Corryville,1,2021,Jan,2021-01-01,0.710637046,0.026134731,0.00510256,0.036937847,0.00143353,0,0,0,0.038371377000000005,0.780245714
CUF,1,2021,Jan,2021-01-01,0.777781785,0.021120754,0.006975149,0.005397327,6.38e-4,0,0,0,0.006035327,0.8119130149999999
Downtown,1,2021,Jan,2021-01-01,0.920791648,0.087663082,0.001869968,0,0,0,0,0,0,1.010324698
East End,1,2021,Jan,2021-01-01,0.96313056,0.065115259,0.026556338,0.059528061,0,0,0,0,0.059528061,1.1143302179999999
East Price Hill,1,2021,Jan,2021-01-01,0.752217016,0.145892619,0.046835667,0.007532653,0.001641184,0,0,0,0.009173837,0.9541191389999999
East Walnut Hills,1,2021,Jan,2021-01-01,0.946580765,0.021344032,0.009932826,0.011236542,0,0,0,0,0.011236542,0.989094165
East Westwood,1,2021,Jan,2021-01-01,0.726996982,0.206260857,0.063753962,0.003632145,0.002084375,0,0,0,0.005716519999999999,1.002728321
English Woods,1,2021,Jan,2021-01-01,0.728074357,0.129221411,0.046638166,0,0.005670855,0,0,0,0.005670855,0.909604789
Evanston,1,2021,Jan,2021-01-01,0.866051248,0.069498079,0.012102759,0.009942573,3.1e-4,0,0,0,0.010252573,0.9579046590000001
Hartwell,1,2021,Jan,2021-01-01,0.922572537,0.053151565,0.033505495,0.003077774,5.96e-4,0,0,0,0.0036737740000000003,1.012903371
Hyde Park,1,2021,Jan,2021-01-01,0.950683326,0.005341907,0.020835298,0,0,0,0,0,0,0.976860531
Kennedy Heights,1,2021,Jan,2021-01-01,0.863439283,0.052615427,0.022855754,0.013464852,0,0,0,0,0.013464852,0.9523753159999999
Linwood,1,2021,Jan,2021-01-01,0.96879115,0.020885345,0.025485778,0,0,0,0,0,0,1.015162273
Lower Price Hill,1,2021,Jan,2021-01-01,0.566005899,0.196375535,0.038042269,0.029429246,0.004505049,0,0,0,0.033934294999999996,0.8343579979999999
Madisonville,1,2021,Jan,2021-01-01,0.863930384,0.054976591,0.027176106,0.01460968,0,0,0,0,0.01460968,0.9606927609999999
Millvale,1,2021,Jan,2021-01-01,0.483970406,0.281154931,0.061297439,0.066787112,0,0,0,0,0.066787112,0.8932098879999999
Mt. Adams,1,2021,Jan,2021-01-01,0.947803977,0,0.002436475,0,0,0,0,0,0,0.950240452
Mt. Airy,1,2021,Jan,2021-01-01,0.744310778,0.12507942,0.04841094,0.009695018,1.16e-4,0,0,0,0.009811018,0.927612156
Mt. Auburn,1,2021,Jan,2021-01-01,0.860787614,0.104897571,0.02829403,0.010011413,0.003028454,0,0,0,0.013039867,1.007019082
Mt. Lookout,1,2021,Jan,2021-01-01,0.969539695,0.006204638,0.005121715,0,0,0,0,0,0,0.9808660480000001
Mt. Washington,1,2021,Jan,2021-01-01,0.909940127,0.070319428,0.020883261,0.008027737,0,0,0,0,0.008027737,1.009170553
North Avondale - Paddock Hills,1,2021,Jan,2021-01-01,0.880778935,0.076897249,0.026129747,0.002614829,0.002247944,0,0,0,0.004862773,0.9886687040000002
North Fairmount,1,2021,Jan,2021-01-01,0.728074357,0.129221411,0.046638166,0.009760709,0,0,0,0,0.009760709,0.913694643
Northside,1,2021,Jan,2021-01-01,0.896129559,0.060881347,0.029188992,0.018511074,0.001830364,0,0,0,0.020341438,1.0065413360000002
Oakley,1,2021,Jan,2021-01-01,0.946221026,0.023216973,0.015493421,0,0,0,0,0,0,0.98493142
Over-the-Rhine,1,2021,Jan,2021-01-01,0.865310959,0.146675999,0.01715082,0.314384445,9.22e-4,0,0,0,0.315306445,1.344444223
Pendleton,1,2021,Jan,2021-01-01,0.892919279,0.065452081,0.036085937,0,0,0,0,0,0,0.994457297
Pleasant Ridge,1,2021,Jan,2021-01-01,0.906729328,0.067376077,0.032258252,0.003997726,0.001494601,0,0,0,0.005492327,1.011855984
Queensgate,1,2021,Jan,2021-01-01,0.566005899,0.196375535,0.038042269,0.037415097,0,0,0,0,0.037415097,0.8378387999999999
Riverside,1,2021,Jan,2021-01-01,0.823390031,0.118557918,0.026821732,0.005727734,0,0,0,0,0.005727734,0.9744974150000001
Roselawn,1,2021,Jan,2021-01-01,0.749102912,0.121185914,0.040509107,0.011456209,0,0,0,0,0.011456209,0.922254142
Sayler Park,1,2021,Jan,2021-01-01,0.836237043,0.087739985,0.047953132,0.004269332,0,0,0,0,0.004269332,0.976199492
Sedamsville,1,2021,Jan,2021-01-01,0.785877964,0.090962756,0.040189365,0,0,0,0,0,0,0.917030085
South Cumminsville,1,2021,Jan,2021-01-01,0.483970406,0.281154931,0.061297439,0.024087558,0,0,0,0,0.024087558,0.8505103339999999
South Fairmount,1,2021,Jan,2021-01-01,0.72152678,0.20079264,0.03900775,0.010270057,0,0,0,0,0.010270057,0.9715972270000001
Spring Grove Village,1,2021,Jan,2021-01-01,0.829347783,0.124129516,0.048302246,0.002742894,0,0,0,0,0.002742894,1.004522439
Villages at Roll Hill,1,2021,Jan,2021-01-01,0.394923892,0.318610854,0.079244283,0,0.001738828,0,0,0,0.001738828,0.794517857
Walnut Hills,1,2021,Jan,2021-01-01,0.781163163,0.262864956,0.012196299,0.029790551,0.009556676,0,0,0,0.039347227,1.095571645
West End,1,2021,Jan,2021-01-01,0.676673033,0.267300471,0.060345793,0.043431115,0.001016434,0,0,0,0.044447549,1.0487668460000001
West Price Hill,1,2021,Jan,2021-01-01,0.832467257,0.112621798,0.054256881,0.001748443,8.47e-5,0,0,0,0.001833143,1.001179079
Westwood,1,2021,Jan,2021-01-01,0.822624938,0.113640049,0.04251671,0.002987285,0,0,0,0,0.002987285,0.9817689820000001
Winton Hills,1,2021,Jan,2021-01-01,0.569889451,0.266226027,0.069039638,0.113301355,0,0,0,0,0.113301355,1.018456471
Avondale,1,2022,Jan,2022-01-01,0.694930165,0.20083901,0.045967742,0.011394768,0.006495575,0,0,0,0.017890343,0.9596272600000001
Bond Hill,1,2022,Jan,2022-01-01,0.87218786,0.085480767,0.046924926,0.122491854,0.00562572,0,0,0,0.12811757399999998,1.132711127
California,1,2022,Jan,2022-01-01,0.969823325,0.011099091,0.006436893,0,0,0,0,0,0,0.987359309
Camp Washington,1,2022,Jan,2022-01-01,0.890950178,0.117891941,0.016613884,0.031491706,0.018828882,0,0,0,0.050320588,1.0757765910000001
Carthage,1,2022,Jan,2022-01-01,0.788875868,0.114758411,0.063837996,0.014464551,0,0,0,0,0.014464551,0.981936826
Clifton,1,2022,Jan,2022-01-01,0.874502336,0.046182061,0.008234714,0.001334694,5.98e-4,0,0,0,0.001932694,0.930851805
College Hill,1,2022,Jan,2022-01-01,0.814161088,0.098066042,0.041237318,0.003101126,0.003168469,0,0,0,0.006269595,0.959734043
Columbia Tusculum,1,2022,Jan,2022-01-01,0.970432783,0.025656616,0.002944494,0,0,0,0,0,0,0.999033893
Corryville,1,2022,Jan,2022-01-01,0.659210439,0.019977082,0.005532964,0.004017938,0.015496154,0,0,0,0.019514092,0.704234577
CUF,1,2022,Jan,2022-01-01,0.782351093,0.020075019,0.006637475,0.014157136,0,0,0,0,0.014157136,0.823220723
Downtown,1,2022,Jan,2022-01-01,0.935130184,0.046399766,0.002413834,0.009411812,0,0,0,0,0.009411812,0.9933555959999999
East End,1,2022,Jan,2022-01-01,0.945563808,0.065067872,0.019706745,0.006091008,9.4e-4,0,0,0,0.007031008,1.0373694329999998
East Price Hill,1,2022,Jan,2022-01-01,0.726795903,0.143870954,0.054235645,0.015403747,0.006008507,0,0,0,0.021412254,0.946314756
East Walnut Hills,1,2022,Jan,2022-01-01,0.91486137,0.028414112,0.017275046,0.009622512,0.001623677,0,0,0,0.011246189,0.9717967169999999
East Westwood,1,2022,Jan,2022-01-01,0.701165518,0.21010793,0.059867409,0.002921876,0.003850278,0,0,0,0.006772154,0.9779130109999999
English Woods,1,2022,Jan,2022-01-01,0.715413057,0.169523762,0.03777099,0.008780613,0.026890627,0,0,0,0.03567124,0.9583790489999999
Evanston,1,2022,Jan,2022-01-01,0.872337359,0.059810896,0.011331773,0.014050306,0.002136634,0,0,0,0.01618694,0.959666968
Hartwell,1,2022,Jan,2022-01-01,0.92163354,0.060457983,0.029595866,0.010124257,8.21e-5,0,0,0,0.010206357,1.021893746
Hyde Park,1,2022,Jan,2022-01-01,0.942952733,0.008787396,0.019969101,2.88e-4,0,0,0,0,2.88e-4,0.97199723
Kennedy Heights,1,2022,Jan,2022-01-01,0.829450912,0.084984996,0.022471157,0.001237449,0.004259789,0,0,0,0.005497238,0.942404303
Linwood,1,2022,Jan,2022-01-01,0.970432783,0.025656616,0.022649951,0,0,0,0,0,0,1.0187393500000002
Lower Price Hill,1,2022,Jan,2022-01-01,0.522975767,0.263374417,0.039979943,0.020172486,0.027257597,0,0,0,0.047430083,0.8737602099999999
Madisonville,1,2022,Jan,2022-01-01,0.848567082,0.063825546,0.025306273,0.013979681,5.03e-4,0,0,0,0.014482681,0.952181582
Millvale,1,2022,Jan,2022-01-01,0.480499996,0.296052769,0.079175489,0.063967409,0,0,0,0,0.063967409,0.9196956629999999
Mt. Adams,1,2022,Jan,2022-01-01,0.942416192,0,0.001911217,0,0,0,0,0,0,0.944327409
Mt. Airy,1,2022,Jan,2022-01-01,0.715363396,0.141288119,0.049691299,0.005214068,0.002202696,0,0,0,0.007416763999999999,0.9137595780000001
Mt. Auburn,1,2022,Jan,2022-01-01,0.840745152,0.101627733,0.02828974,0.017382042,0.006391431,0,0,0,0.023773473,0.9944360979999999
Mt. Lookout,1,2022,Jan,2022-01-01,0.97318628,0.007593286,0.005069812,0,0,0,0,0,0,0.9858493779999999
Mt. Washington,1,2022,Jan,2022-01-01,0.903437455,0.065991024,0.021216119,0.037458989,0,0,0,0,0.037458989,1.028103587
North Avondale - Paddock Hills,1,2022,Jan,2022-01-01,0.876485877,0.092072895,0.029513264,0.002153948,0.005333367,0,0,0,0.0074873150000000005,1.005559351
North Fairmount,1,2022,Jan,2022-01-01,0.715413057,0.169523762,0.03777099,0.029263147,0.002575581,0,0,0,0.031838728,0.9545465369999999
Northside,1,2022,Jan,2022-01-01,0.901523151,0.062724811,0.024516916,0.050509606,0.005582874,0,0,0,0.05609248,1.044857358
Oakley,1,2022,Jan,2022-01-01,0.943918119,0.014943013,0.013474473,0,2.34e-4,0,0,0,2.34e-4,0.972569605
Over-the-Rhine,1,2022,Jan,2022-01-01,0.877009992,0.145291792,0.015872028,0.311081577,0.009853938,0,0,0,0.320935515,1.3591093269999999
Pendleton,1,2022,Jan,2022-01-01,0.901892925,0.078633242,0.04104796,0,0,0,0,0,0,1.021574127
Pleasant Ridge,1,2022,Jan,2022-01-01,0.889035548,0.088859337,0.035132042,0.003048286,0,0,0,0,0.003048286,1.0160752130000001
Queensgate,1,2022,Jan,2022-01-01,0.522975767,0.263374417,0.039979943,0.409866771,0.404847342,0,0,0,0.814714113,1.6410442399999998
Riverside,1,2022,Jan,2022-01-01,0.826848745,0.103974473,0.030975534,0.002418612,0,0,0,0,0.002418612,0.964217364
Roselawn,1,2022,Jan,2022-01-01,0.713087114,0.146335273,0.050211363,0.029097852,0.002788705,0,0,0,0.031886557,0.9415203069999999
Sayler Park,1,2022,Jan,2022-01-01,0.863933457,0.083720263,0.046386252,0.006235434,0.002649267,0,0,0,0.008884701,1.002924673
Sedamsville,1,2022,Jan,2022-01-01,0.749065532,0.147203492,0.039210117,0,0,0,0,0,0,0.935479141
South Cumminsville,1,2022,Jan,2022-01-01,0.480499996,0.296052769,0.079175489,0.140309843,0,0,0,0,0.140309843,0.996038097
South Fairmount,1,2022,Jan,2022-01-01,0.71639905,0.181837374,0.041674204,0.01259673,0,0,0,0,0.01259673,0.9525073580000001
Spring Grove Village,1,2022,Jan,2022-01-01,0.785383199,0.131560528,0.048395815,0,0,0,0,0,0,0.965339542
Villages at Roll Hill,1,2022,Jan,2022-01-01,0.374114857,0.314948199,0.090069981,0,0.010170591,0,0,0,0.010170591,0.7893036279999999
Walnut Hills,1,2022,Jan,2022-01-01,0.785698697,0.252998161,0.014847939,0.026996101,0.032782239,0,0,0,0.05977834,1.113323137
West End,1,2022,Jan,2022-01-01,0.69520919,0.278818061,0.048527925,0.084068584,0.004557872,0,0,0,0.088626456,1.111181632
West Price Hill,1,2022,Jan,2022-01-01,0.812839459,0.100755151,0.058078568,0.004209107,7.33e-4,0,0,0,0.004942107,0.9766152849999999
Westwood,1,2022,Jan,2022-01-01,0.823155214,0.125453557,0.039927116,0.001616466,2.72e-4,0,0,0,0.001888466,0.990424353
Winton Hills,1,2022,Jan,2022-01-01,0.547076392,0.260534519,0.082564566,0.054971202,0,0,0,0,0.054971202,0.945146679
Avondale,1,2023,Jan,2023-01-01,0.683861653,0.209861076,0.048521505,0.013808209,0.004813296,0,0.002178788,2.28e-4,0.020800293,0.963044527
Bond Hill,1,2023,Jan,2023-01-01,0.864453432,0.089320724,0.049531866,0.128248266,0.002809786,0,0,5.36e-4,0.131058052,1.134364074
California,1,2023,Jan,2023-01-01,0.96915549,0.011597683,0.006794498,0,0,0,0,0,0,0.987547671
Camp Washington,1,2023,Jan,2023-01-01,0.88539748,0.123187869,0.017536878,0.018015034,4.19e-4,0,0,0,0.018434034,1.044556261
Carthage,1,2023,Jan,2023-01-01,0.773966794,0.119913575,0.067384552,0.024017981,0,0,0,0,0.024017981,0.985282902
Clifton,1,2023,Jan,2023-01-01,0.868409013,0.048256646,0.008692198,0.002788077,5.88e-4,0,0,0,0.003376077,0.9287339339999999
College Hill,1,2023,Jan,2023-01-01,0.807258493,0.102471353,0.04352828,0.0048034490000000004,0.001057778,0,0,3.03e-4,0.005861227,0.959119353
Columbia Tusculum,1,2023,Jan,2023-01-01,0.96809139,0.026809159,0.003108077,0,0,0,0,0,0,0.9980086260000001
Corryville,1,2023,Jan,2023-01-01,0.645775539,0.02087449,0.005840351,0.015117019,0.002267359,0,0,0,0.017384378,0.689874758
